DEPT,Vp,Vs,DEN,phi,Kbulk_GPa,K_bg_depth,phi_bg_depth
1997.202,3643.96283349194,1867.1642504205408,2.6167,0.10989090909090912,22.58228327327047,22.58228327327047,0.10895909090909092
1997.3544,3641.0767935110466,1873.0515931078094,2.6176,0.11261818181818181,22.45816300989084,22.550029313811265,0.10939848484848477
1997.5068,3661.0062001686374,1882.7622246738213,2.6143,0.11426818181818177,22.683169860748684,22.527471532201595,0.10939848484848477
1997.6592,3692.115371337411,1912.4837881234007,2.6111,0.11358787878787877,22.85998100017405,22.550029313811265,0.10939848484848477
1997.8116,3728.481414474288,1950.0747592636549,2.6147,0.10734696969696966,23.090899164454978,22.550029313811265,0.10939848484848477
1997.964,3753.195387805563,1965.8263532953713,2.6202,0.10388030303030299,23.408459666242944,22.550029313811265,0.10939848484848477
1998.1164,3753.320173726513,1974.951549539988,2.6262,0.09871212121212122,23.33860387745741,22.550029313811265,0.10939848484848477
1998.2688,3740.372957398036,1938.9423985251826,2.6287,0.0972545454545455,23.599749284380174,22.550029313811265,0.10939848484848477
1998.4212,3715.038960374137,1916.1327311680866,2.6279,0.0973469696969697,23.40432692565597,22.550029313811265,0.10939848484848477
1998.5736,3689.590223070107,1898.1642360449432,2.6245,0.10022727272727275,23.119323883012072,22.550029313811265,0.10939848484848477
1998.726,3674.055359142528,1884.7157467753304,2.6211,0.10375757575757567,22.967331576435168,22.550029313811265,0.10939848484848477
1998.8784,3665.563069211555,1893.0665815366385,2.6194,0.10522272727272719,22.678986552029976,22.550029313811265,0.10939848484848477
1999.0308,3666.167099277592,1884.7192429958382,2.6197,0.10428181818181818,22.80333329944973,22.527471532201595,0.10942121212121213
1999.1832,3666.594890585585,1887.5086928816525,2.6235,0.10528030303030303,22.807832761659924,22.527002934852565,0.10942121212121213
1999.3356,3672.7891869615987,1891.437213034286,2.624,0.10632878787878781,22.879532689055626,22.5000478539302,0.10945606060606054
1999.488,3694.612629320533,1905.3060397826403,2.6202,0.11013030303030297,23.083720086782034,22.486094162535558,0.10961969696969688
1999.6404,3718.9916261681333,1923.1169637465953,2.615,0.1117060606060605,23.272785862263838,22.45816300989084,0.10961969696969688
1999.7928,3742.8440211505076,1960.0164363583049,2.6143,0.10661818181818176,23.232400794962594,22.455093146478234,0.10961969696969688
1999.9452,3754.8830110022504,1947.9934325523252,2.6216,0.1022060606060606,23.698150366928694,22.441631732486744,0.10961969696969688
2000.0976,3740.152649274793,1955.8810223713517,2.6273,0.09882878787878786,23.3517429849635,22.3961829376848,0.10966212121212118
2000.25,3693.869364516313,1904.3370526635417,2.6291,0.10023333333333324,23.160630716110155,22.35089681195886,0.10971969696969688
2000.4024,3641.2159845558926,1861.027411688205,2.626,0.09977272727272728,22.69010130802114,22.31790627581624,0.1098848484848484
2000.5548,3619.342106200617,1860.5025920683263,2.62,0.10559090909090904,22.228981511239724,22.315451575596203,0.10989090909090912
2000.7072,3613.566523767973,1857.4085494419244,2.6175,0.10939848484848477,22.138573306096294,22.261343782414976,0.11013030303030297
2000.8596,3600.7215619192984,1864.7197230817796,2.6171,0.10961969696969688,21.797711372921935,22.237292592701383,0.11034090909090907
2001.012,3580.145695955422,1863.4315017741728,2.6171,0.10971969696969688,21.42778694757258,22.228981511239724,0.11034090909090907
2001.1644,3568.8902367199935,1851.2613540081813,2.6193,0.11315303030303028,21.392921601145332,22.1953204628412,0.11034090909090907
2001.3168,3573.7693769705274,1835.5552102848906,2.6171,0.11426969696969688,21.668219221195464,22.17964651357402,0.1104863636363636
2001.4692,3579.6159194257584,1830.2733700629005,2.6182,0.11333636363636365,21.854419072078265,22.138573306096294,0.11067575757575757
2001.6216,3584.621409645313,1828.841331814099,2.616,0.11650303030303025,21.94814362974837,22.12534367919354,0.1107848484848484
2001.774,3593.153204130712,1834.047576927104,2.6178,0.11590757575757575,22.05699622722911,22.08971139399838,0.1108924242424242
2001.9264,3604.366391884973,1829.031189542358,2.6161,0.11362272727272728,22.31790627581624,22.070574702540473,0.11121818181818177
2002.0788,3595.5607564833344,1809.3219257406317,2.6154,0.1098848484848484,22.3961829376848,22.05699622722911,0.11139848484848482
2002.2312,3567.0483377180253,1783.6358433560445,2.6149,0.1104863636363636,22.17964651357402,22.033295008580318,0.1115818181818181
2002.3836,3546.173553084403,1761.8680425576683,2.6161,0.11297272727272728,22.070574702540473,21.97255496293026,0.1117060606060605
